seed,method,perturb_std,run_status,runtime_sec,final_eval_reward,final_eval_success,final_eval_steps,final_grad_norm,final_fitness_std,auc_success,adapt_iterations,skipped_reason,pretrain_reward,pretrain_success,pretrain_steps,pretrain_iterations,pretrain_max_iterations,pretrain_hit_max_budget,pretrain_gate_threshold,pretrain_gate_passed,pretrain_gate_status,pretrain_failed,time_to_0.6,interactions_to_0.6,time_to_0.8,interactions_to_0.8,time_to_0.9,interactions_to_0.9,is_skipped,is_valid_run
11,full,0.0,ok,99.5217649936676,1.0,1.0,14.0,130.02784729003906,0.7269057631492615,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,6005.0,0.0,6005.0,0.0,6005.0,False,1
11,lora,0.0,ok,142.8859384059906,1.0,1.0,14.0,24.4078311920166,0.14827145636081696,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,4043.0,0.0,4043.0,0.0,4043.0,False,1
33,full,0.0,ok,201.44270181655884,1.0,1.0,14.0,129.2410430908203,0.5310539603233337,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,4107.0,0.0,4107.0,0.0,4107.0,False,1
33,lora,0.0,ok,151.8079743385315,1.0,1.0,14.0,24.761978149414062,0.008548174053430557,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,3569.0,0.0,3569.0,0.0,3569.0,False,1
55,full,0.0,ok,157.40925693511963,1.0,1.0,14.0,129.96066284179688,0.05430581048130989,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,4246.0,0.0,4246.0,0.0,4246.0,False,1
55,lora,0.0,ok,110.97493886947632,1.0,1.0,14.0,26.16905403137207,0.00457591749727726,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,3649.0,0.0,3649.0,0.0,3649.0,False,1
11,full,0.25,ok,374.23465394973755,1.0,1.0,14.0,130.87254333496094,1.209073781967163,0.02531645569620253,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,79.0,993921.0,79.0,993921.0,79.0,993921.0,False,1
11,lora,0.25,ok,635.0654158592224,0.0,0.0,50.0,0.0,0.0,0.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,,,,,,,False,1
33,full,0.25,ok,214.59521389007568,1.0,1.0,14.0,129.1293182373047,2.408391424069123e-07,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,6238.0,0.0,6238.0,0.0,6238.0,False,1
33,lora,0.25,ok,230.02055025100708,1.0,1.0,14.0,24.987384796142578,2.408391424069123e-07,1.0,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,3782.0,0.0,3782.0,0.0,3782.0,False,1
55,full,0.25,ok,234.01937341690063,1.0,1.0,14.0,130.85787963867188,2.408391424069123e-07,0.8734177215189873,80,,1.0,1.0,14.0,40,160,0,0.8,1,pass,0,0.0,4566.0,0.0,4566.0,0.0,4566.0,False,1
